month,nino34_anomaly_c,region_mean_sst_c,climatology_mean_c,baseline
1981-09,-0.35,26.345,26.695,1991-2020
1981-10,-0.232,26.466,26.698,1991-2020
1981-11,-0.68,26.075,26.755,1991-2020
1981-12,-0.393,26.184,26.576,1991-2020
1982-01,0.092,26.583,26.491,1991-2020
1982-02,-0.213,26.455,26.667,1991-2020
1982-03,-0.146,27.034,27.18,1991-2020
1982-04,0.011,27.782,27.771,1991-2020
1982-05,0.483,28.324,27.841,1991-2020
1982-06,0.653,28.318,27.664,1991-2020
1982-07,0.273,27.516,27.243,1991-2020
1982-08,0.897,27.732,26.835,1991-2020
1982-09,1.293,27.988,26.695,1991-2020
1982-10,1.818,28.516,26.698,1991-2020
1982-11,1.765,28.52,26.755,1991-2020
1982-12,2.297,28.874,26.576,1991-2020
1983-01,2.227,28.719,26.491,1991-2020
1983-02,1.892,28.559,26.667,1991-2020
1983-03,1.298,28.478,27.18,1991-2020
1983-04,0.736,28.507,27.771,1991-2020
1983-05,0.712,28.553,27.841,1991-2020
1983-06,0.459,28.123,27.664,1991-2020
1983-07,-0.387,26.856,27.243,1991-2020
1983-08,-0.49,26.345,26.835,1991-2020
1983-09,-0.428,26.267,26.695,1991-2020
1983-10,-1.083,25.615,26.698,1991-2020
1983-11,-1.378,25.377,26.755,1991-2020
1983-12,-1.228,25.348,26.576,1991-2020
1984-01,-1.004,25.488,26.491,1991-2020
1984-02,-0.157,26.51,26.667,1991-2020
1984-03,-0.542,26.638,27.18,1991-2020
1984-04,-0.544,27.227,27.771,1991-2020
1984-05,-0.717,27.124,27.841,1991-2020
1984-06,-1.086,26.579,27.664,1991-2020
1984-07,-0.708,26.535,27.243,1991-2020
1984-08,-0.545,26.29,26.835,1991-2020
1984-09,-0.422,26.273,26.695,1991-2020
1984-10,-0.775,25.924,26.698,1991-2020
1984-11,-1.373,25.383,26.755,1991-2020
1984-12,-1.536,25.04,26.576,1991-2020
1985-01,-1.33,25.161,26.491,1991-2020
1985-02,-0.941,25.726,26.667,1991-2020
1985-03,-0.908,26.272,27.18,1991-2020
1985-04,-1.142,26.629,27.771,1991-2020
1985-05,-1.109,26.732,27.841,1991-2020
1985-06,-1.106,26.558,27.664,1991-2020
1985-07,-0.804,26.439,27.243,1991-2020
1985-08,-0.635,26.2,26.835,1991-2020
1985-09,-0.793,25.901,26.695,1991-2020
1985-10,-0.75,25.948,26.698,1991-2020
1985-11,-0.58,26.175,26.755,1991-2020
1985-12,-0.589,25.988,26.576,1991-2020
1986-01,-0.725,25.767,26.491,1991-2020
1986-02,-0.81,25.857,26.667,1991-2020
1986-03,-0.612,26.568,27.18,1991-2020
1986-04,-0.535,27.236,27.771,1991-2020
1986-05,-0.581,27.26,27.841,1991-2020
1986-06,-0.334,27.33,27.664,1991-2020
1986-07,-0.027,27.216,27.243,1991-2020
1986-08,0.222,27.056,26.835,1991-2020
1986-09,0.431,27.126,26.695,1991-2020
1986-10,0.545,27.243,26.698,1991-2020
1986-11,0.558,27.314,26.755,1991-2020
1986-12,0.858,27.434,26.576,1991-2020
1987-01,0.991,27.483,26.491,1991-2020
1987-02,0.853,27.52,26.667,1991-2020
1987-03,0.923,28.103,27.18,1991-2020
1987-04,0.468,28.239,27.771,1991-2020
