month,wwv_volume_1e14_m3,wwv_anomaly_1e14_m3
1980-01,26.096,0.812
1980-02,25.741,0.947
1980-03,25.717,1.229
1980-04,25.22,0.916
1980-05,25.562,1.547
1980-06,25.765,1.85
1980-07,24.726,0.914
1980-08,24.616,0.784
1980-09,25.13,0.845
1980-10,26.228,1.328
1980-11,27.148,1.684
1980-12,27.291,1.699
1981-01,26.655,1.371
1981-02,26.004,1.211
1981-03,26.541,2.053
1981-04,25.995,1.691
1981-05,25.187,1.172
1981-06,24.689,0.774
1981-07,24.393,0.581
1981-08,24.535,0.703
1981-09,25.891,1.606
1981-10,26.293,1.394
1981-11,26.37,0.905
1981-12,26.528,0.935
1982-01,26.438,1.153
1982-02,26.76,1.966
1982-03,26.641,2.153
1982-04,26.066,1.762
1982-05,25.52,1.505
1982-06,25.638,1.723
1982-07,25.568,1.756
1982-08,26.168,2.336
1982-09,26.882,2.596
1982-10,27.779,2.879
1982-11,27.945,2.48
1982-12,26.996,1.403
1983-01,24.914,-0.37
1983-02,23.541,-1.252
1983-03,22.746,-1.742
1983-04,24.138,-0.166
1983-05,23.128,-0.887
1983-06,21.899,-2.015
1983-07,20.901,-2.911
1983-08,20.283,-3.549
1983-09,19.752,-4.533
1983-10,20.163,-4.737
1983-11,21.347,-4.117
1983-12,22.624,-2.969
1984-01,22.859,-2.425
1984-02,22.319,-2.475
1984-03,22.231,-2.257
1984-04,22.383,-1.921
1984-05,21.796,-2.219
1984-06,21.814,-2.101
1984-07,22.641,-1.171
1984-08,22.98,-0.853
1984-09,23.154,-1.131
1984-10,23.148,-1.752
1984-11,24.539,-0.925
1984-12,25.342,-0.251
1985-01,25.537,0.253
1985-02,24.6,-0.194
1985-03,24.177,-0.311
1985-04,24.736,0.432
1985-05,24.872,0.858
1985-06,24.624,0.709
1985-07,24.44,0.628
1985-08,24.747,0.914
1985-09,24.8,0.515
1985-10,25.21,0.31
1985-11,26.177,0.712
1985-12,26.461,0.869
1986-01,26.162,0.878
1986-02,26.271,1.477
1986-03,25.736,1.248
1986-04,25.03,0.726
1986-05,25.356,1.341
1986-06,25.299,1.384
1986-07,25.121,1.309
1986-08,24.802,0.97
1986-09,25.363,1.077
1986-10,26.355,1.455
1986-11,26.666,1.201
1986-12,27.156,1.563
1987-01,26.236,0.951
1987-02,24.877,0.084
1987-03,24.26,-0.228
1987-04,23.678,-0.626
1987-05,23.549,-0.466
1987-06,22.893,-1.021
1987-07,22.182,-1.629
1987-08,22.802,-1.03
1987-09,22.674,-1.611
1987-10,23.409,-1.491
1987-11,23.486,-1.978
1987-12,23.57,-2.023
1988-01,23.3,-1.984
1988-02,22.0,-2.794
1988-03,21.667,-2.821
1988-04,21.28,-3.024
1988-05,21.241,-2.774
1988-06,21.511,-2.403
1988-07,22.059,-1.753
1988-08,22.656,-1.177
1988-09,23.132,-1.153
1988-10,23.207,-1.693
1988-11,24.507,-0.958
1988-12,25.029,-0.564
1989-01,25.513,0.229
1989-02,26.091,1.298
1989-03,26.129,1.641
1989-04,25.789,1.484
1989-05,25.83,1.815
1989-06,25.838,1.923
1989-07,25.629,1.818
1989-08,25.435,1.603
1989-09,25.823,1.537
1989-10,25.612,0.713
1989-11,26.021,0.556
1989-12,27.059,1.467
1990-01,27.241,1.957
1990-02,27.277,2.483
1990-03,26.511,2.023
1990-04,25.38,1.076
1990-05,24.572,0.557
1990-06,24.14,0.225
1990-07,24.507,0.696
1990-08,24.638,0.805
1990-09,25.048,0.763
1990-10,25.719,0.82
1990-11,26.217,0.753
1990-12,26.525,0.933
1991-01,26.35,1.066
1991-02,25.508,0.715
1991-03,24.704,0.216
1991-04,24.719,0.415
1991-05,24.786,0.771
1991-06,24.963,1.048
1991-07,25.034,1.223
1991-08,24.678,0.845
1991-09,25.174,0.889
1991-10,26.599,1.7
1991-11,26.736,1.272
1991-12,27.025,1.432
1992-01,26.241,0.957
1992-02,26.022,1.229
1992-03,24.662,0.174
1992-04,23.762,-0.542
1992-05,22.532,-1.483
1992-06,21.829,-2.086
1992-07,22.071,-1.74
1992-08,22.36,-1.472
1992-09,22.937,-1.348
1992-10,23.971,-0.928
1992-11,24.711,-0.754
1992-12,25.148,-0.445
1993-01,24.744,-0.54
1993-02,24.374,-0.42
1993-03,24.095,-0.393
1993-04,23.8,-0.504
1993-05,23.33,-0.685
1993-06,22.347,-1.568
1993-07,21.785,-2.026
1993-08,22.252,-1.58
1993-09,23.271,-1.014
1993-10,24.114,-0.785
1993-11,24.273,-1.191
1993-12,23.964,-1.628
1994-01,23.649,-1.635
1994-02,23.35,-1.444
1994-03,23.22,-1.268
1994-04,23.205,-1.1
1994-05,23.397,-0.618
1994-06,23.098,-0.817
1994-07,23.283,-0.528
1994-08,23.664,-0.168
1994-09,24.016,-0.269
1994-10,25.086,0.187
1994-11,26.126,0.662
1994-12,25.378,-0.215
1995-01,24.29,-0.994
1995-02,23.331,-1.463
1995-03,22.616,-1.872
1995-04,22.584,-1.72
1995-05,22.752,-1.263
1995-06,23.187,-0.728
1995-07,23.581,-0.23
1995-08,23.324,-0.509
1995-09,23.298,-0.987
1995-10,24.25,-0.649
1995-11,25.14,-0.325
1995-12,25.641,0.048
1996-01,25.614,0.33
1996-02,25.126,0.332
1996-03,25.112,0.624
1996-04,24.716,0.412
1996-05,24.295,0.28
1996-06,24.66,0.746
1996-07,24.072,0.261
1996-08,24.297,0.465
1996-09,24.552,0.267
1996-10,25.352,0.452
1996-11,25.956,0.491
1996-12,26.445,0.852
1997-01,26.919,1.635
1997-02,26.937,2.144
1997-03,26.695,2.208
1997-04,27.421,3.117
1997-05,26.902,2.887
1997-06,26.99,3.075
1997-07,26.009,2.197
1997-08,25.347,1.514
1997-09,26.085,1.8
1997-10,26.482,1.582
1997-11,26.128,0.663
1997-12,24.827,-0.766
1998-01,23.234,-2.05
1998-02,22.063,-2.73
1998-03,21.344,-3.144
1998-04,20.722,-3.582
1998-05,19.941,-4.074
1998-06,19.393,-4.522
1998-07,19.174,-4.638
1998-08,19.706,-4.126
1998-09,20.518,-3.767
1998-10,21.039,-3.86
1998-11,22.07,-3.394
1998-12,22.93,-2.663
1999-01,23.129,-2.155
1999-02,23.361,-1.432
1999-03,23.205,-1.283
1999-04,23.282,-1.022
1999-05,23.29,-0.725
1999-06,23.437,-0.478
1999-07,23.05,-0.761
1999-08,22.823,-1.009
1999-09,23.54,-0.745
1999-10,24.007,-0.893
1999-11,24.558,-0.907
1999-12,24.865,-0.728
2000-01,24.946,-0.338
2000-02,24.993,0.199
2000-03,25.261,0.773
2000-04,25.329,1.025
2000-05,25.344,1.329
2000-06,24.968,1.054
2000-07,24.616,0.805
2000-08,24.063,0.231
2000-09,24.615,0.33
2000-10,25.082,0.183
2000-11,25.738,0.273
2000-12,25.573,-0.02
2001-01,25.682,0.398
2001-02,25.134,0.341
2001-03,25.125,0.637
2001-04,24.949,0.645
2001-05,24.184,0.169
2001-06,24.273,0.358
2001-07,24.504,0.692
2001-08,24.075,0.242
2001-09,24.834,0.549
2001-10,25.292,0.392
2001-11,25.983,0.519
2001-12,26.343,0.751
2002-01,26.348,1.064
2002-02,25.745,0.951
2002-03,25.174,0.686
2002-04,24.535,0.231
2002-05,23.974,-0.041
2002-06,24.368,0.453
2002-07,24.625,0.813
2002-08,25.081,1.249
2002-09,26.066,1.78
2002-10,26.707,1.807
2002-11,26.568,1.103
2002-12,25.647,0.054
2003-01,24.393,-0.891
2003-02,23.56,-1.233
2003-03,23.307,-1.181
2003-04,23.156,-1.149
2003-05,23.032,-0.983
2003-06,24.359,0.445
2003-07,24.921,1.109
2003-08,24.489,0.656
2003-09,24.97,0.684
2003-10,25.672,0.772
2003-11,26.324,0.859
2003-12,26.15,0.557
2004-01,25.471,0.186
2004-02,24.687,-0.106
2004-03,24.029,-0.459
2004-04,24.177,-0.127
2004-05,24.08,0.065
2004-06,24.327,0.412
2004-07,24.871,1.059
2004-08,24.921,1.088
2004-09,25.778,1.493
2004-10,26.314,1.414
2004-11,26.723,1.258
2004-12,26.609,1.016
2005-01,25.996,0.712
2005-02,25.397,0.604
