Warm Water Volume (m**3,5N-5S,120E-80W)
GTMBA Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/gtmba/
Michael J. McPhaden, Director

 date     Volume       Anomaly
199701 0.2691875E+16 0.1634667E+15
199702 0.2693741E+16 0.2143871E+15
199703 0.2669544E+16 0.2207519E+15
199704 0.2742120E+16 0.3117105E+15
199705 0.2690229E+16 0.2887388E+15
199706 0.2699014E+16 0.3075384E+15
199707 0.2600851E+16 0.2196940E+15
199708 0.2534659E+16 0.1514102E+15
199709 0.2608497E+16 0.1799763E+15
199710 0.2648222E+16 0.1582454E+15
199711 0.2612788E+16 0.6633738E+14
199712 0.2482704E+16 -.7655833E+14
199801 0.2323436E+16 -.2049719E+15
199802 0.2206345E+16 -.2730091E+15
199803 0.2134395E+16 -.3143974E+15
199804 0.2072178E+16 -.3582309E+15
199805 0.1994101E+16 -.4073892E+15
199806 0.1939278E+16 -.4521979E+15
199807 0.1917368E+16 -.4637884E+15
199808 0.1970619E+16 -.4126303E+15
199809 0.2051787E+16 -.3767336E+15
199810 0.2103941E+16 -.3860350E+15
199811 0.2207032E+16 -.3394189E+15
199812 0.2292996E+16 -.2662665E+15
